time,P_l
2016-06-11 18:25:00+0000,22171.109
2016-06-11 18:30:00+0000,22344.92
2016-06-11 18:35:00+0000,23519.12
2016-06-11 18:40:00+0000,23985.4
2016-06-11 18:45:00+0000,22175.71
2016-06-11 18:50:00+0000,23159.0
2016-06-11 18:55:00+0000,24865.7
2016-06-11 19:00:00+0000,24227.46
2016-06-11 19:05:00+0000,25450.53
2016-06-11 19:10:00+0000,23565.92
2016-06-11 19:15:00+0000,24112.78
2016-06-11 19:20:00+0000,23156.31
2016-06-11 19:25:00+0000,27725.2
2016-06-11 19:30:00+0000,27748.06
2016-06-11 19:35:00+0000,22405.78
2016-06-11 19:40:00+0000,23728.0
2016-06-11 19:45:00+0000,25162.32
2016-06-11 19:50:00+0000,25740.6
2016-06-11 19:55:00+0000,29955.65
2016-06-11 20:00:00+0000,34117.64
2016-06-11 20:05:00+0000,32493.1
2016-06-11 20:10:00+0000,33669.6
2016-06-11 20:15:00+0000,31803.26
2016-06-11 20:20:00+0000,28076.83
2016-06-11 20:25:00+0000,28050.35
2016-06-11 20:30:00+0000,29239.32
2016-06-11 20:35:00+0000,31474.868
2016-06-11 20:40:00+0000,31793.281
2016-06-11 20:45:00+0000,33835.176
2016-06-11 20:50:00+0000,36742.344
2016-06-11 20:55:00+0000,35680.8
2016-06-11 21:00:00+0000,35728.5
2016-06-11 21:05:00+0000,33837.6
2016-06-11 21:10:00+0000,34710.6
2016-06-11 21:15:00+0000,33679.7
2016-06-11 21:20:00+0000,33193.9
2016-06-11 21:25:00+0000,33014.2
2016-06-11 21:30:00+0000,31816.3
2016-06-11 21:35:00+0000,30085.8
2016-06-11 21:40:00+0000,28798.9
2016-06-11 21:45:00+0000,28630.8
2016-06-11 21:50:00+0000,31348.0
2016-06-11 21:55:00+0000,29578.4
2016-06-11 22:00:00+0000,29182.1
2016-06-11 22:05:00+0000,28989.5
2016-06-11 22:10:00+0000,27088.1
2016-06-11 22:15:00+0000,26367.9
2016-06-11 22:20:00+0000,26952.2
2016-06-11 22:25:00+0000,26628.2
2016-06-11 22:30:00+0000,26374.2
2016-06-11 22:35:00+0000,27269.5
2016-06-11 22:40:00+0000,26520.5
2016-06-11 22:45:00+0000,25330.4
2016-06-11 22:50:00+0000,23110.1
2016-06-11 22:55:00+0000,25595.2
2016-06-11 23:00:00+0000,25445.9
2016-06-11 23:05:00+0000,23934.8
2016-06-11 23:10:00+0000,23562.9
2016-06-11 23:15:00+0000,23906.2
2016-06-11 23:20:00+0000,25432.0
2016-06-11 23:25:00+0000,23274.1
2016-06-11 23:30:00+0000,22987.2
2016-06-11 23:35:00+0000,21515.5
2016-06-11 23:40:00+0000,22172.2
2016-06-11 23:45:00+0000,21106.6
2016-06-11 23:50:00+0000,21325.2
2016-06-11 23:55:00+0000,19893.7
2016-06-12 00:00:00+0000,21362.1
2016-06-12 00:05:00+0000,21205.3
2016-06-12 00:10:00+0000,20017.5
2016-06-12 00:15:00+0000,19799.6
2016-06-12 00:20:00+0000,19452.8
2016-06-12 00:25:00+0000,18661.6
2016-06-12 00:30:00+0000,19342.5
2016-06-12 00:35:00+0000,18259.3
2016-06-12 00:40:00+0000,18577.2
2016-06-12 00:45:00+0000,20215.9
2016-06-12 00:50:00+0000,20311.5
2016-06-12 00:55:00+0000,19201.5
2016-06-12 01:00:00+0000,19023.2
2016-06-12 01:05:00+0000,18368.0
2016-06-12 01:10:00+0000,17584.1
2016-06-12 01:15:00+0000,19092.6
2016-06-12 01:20:00+0000,19903.7
2016-06-12 01:25:00+0000,19092.0
2016-06-12 01:30:00+0000,18142.2
2016-06-12 01:35:00+0000,18490.0
2016-06-12 01:40:00+0000,18454.1
2016-06-12 01:45:00+0000,17417.0
2016-06-12 01:50:00+0000,17155.3
2016-06-12 01:55:00+0000,17020.6
2016-06-12 02:00:00+0000,17646.0
2016-06-12 02:05:00+0000,16954.7
2016-06-12 02:10:00+0000,17223.0
2016-06-12 02:15:00+0000,19364.7
2016-06-12 02:20:00+0000,19073.6
2016-06-12 02:25:00+0000,22294.4
2016-06-12 02:30:00+0000,18876.6
2016-06-12 02:35:00+0000,18289.3
2016-06-12 02:40:00+0000,17613.5
2016-06-12 02:45:00+0000,16824.7
2016-06-12 02:50:00+0000,17022.7
2016-06-12 02:55:00+0000,17948.6
2016-06-12 03:00:00+0000,17030.7
2016-06-12 03:05:00+0000,17866.0
2016-06-12 03:10:00+0000,16984.6
2016-06-12 03:15:00+0000,16576.4
2016-06-12 03:20:00+0000,17991.0
2016-06-12 03:25:00+0000,16084.9
2016-06-12 03:30:00+0000,16015.5
2016-06-12 03:35:00+0000,17398.1
2016-06-12 03:40:00+0000,16039.5
2016-06-12 03:45:00+0000,16414.1
2016-06-12 03:50:00+0000,16222.0
2016-06-12 03:55:00+0000,16201.9
2016-06-12 04:00:00+0000,17081.8
2016-06-12 04:05:00+0000,16407.7
2016-06-12 04:10:00+0000,17205.8
2016-06-12 04:15:00+0000,16766.2
2016-06-12 04:20:00+0000,16341.0
2016-06-12 04:25:00+0000,16168.9
2016-06-12 04:30:00+0000,16309.4
2016-06-12 04:35:00+0000,15261.1
2016-06-12 04:40:00+0000,15265.6
2016-06-12 04:45:00+0000,15532.4
2016-06-12 04:50:00+0000,15583.7
2016-06-12 04:55:00+0000,15578.4
2016-06-12 05:00:00+0000,15487.9
2016-06-12 05:05:00+0000,15162.6
2016-06-12 05:10:00+0000,16084.9
2016-06-12 05:15:00+0000,15080.9
