time,P_pv,P_fu,P_fs,P_tu,P_ts,P_l
2016-06-11 12:30:00+0000,20287.2,2522.46,0.0,217.059,20.0,22572.601
2016-06-11 12:35:00+0000,20246.0,1796.22,0.0,269.172,90.0,21683.048
2016-06-11 12:40:00+0000,18778.6,7559.28,0.0,0.0,0.0,26337.88
2016-06-11 12:45:00+0000,20075.4,7492.17,0.0,0.0,0.0,27567.57
2016-06-11 12:50:00+0000,20851.1,10115.8,0.0,0.0,20.0,30946.9
2016-06-11 12:55:00+0000,21862.4,8025.3,0.0,0.0,20.0,29867.7
2016-06-11 13:00:00+0000,33200.2,1701.06,0.0,1477.55,6330.0,27093.71
2016-06-11 13:05:00+0000,38482.7,906.38,0.0,1654.64,10780.0,26954.44
2016-06-11 13:10:00+0000,33921.2,1255.87,0.0,1751.39,8800.0,24625.68
2016-06-11 13:15:00+0000,31468.1,940.409,0.0,1396.88,6630.0,24381.629
2016-06-11 13:20:00+0000,42433.8,498.925,0.0,4305.12,13435.0,25192.605
2016-06-11 13:25:00+0000,33796.6,1598.88,0.0,1884.37,6850.0,26661.11
2016-06-11 13:30:00+0000,29111.8,1517.6,0.0,1160.67,800.0,28668.73
2016-06-11 13:35:00+0000,35489.3,589.459,770.0,4577.53,0.0,32271.229
2016-06-11 13:40:00+0000,50949.3,0.0,0.0,13592.5,13300.0,24056.8
2016-06-11 13:45:00+0000,41018.8,804.043,0.0,6864.16,13210.0,21748.683
2016-06-11 13:50:00+0000,25668.6,2102.19,0.0,1206.57,2050.0,24514.22
2016-06-11 13:55:00+0000,16564.4,775.817,10250.0,374.449,0.0,27215.768
2016-06-11 14:00:00+0000,14437.2,438.452,11790.0,360.69,0.0,26304.962
2016-06-11 14:05:00+0000,14980.6,793.823,10555.0,404.176,0.0,25925.247
2016-06-11 14:10:00+0000,18130.8,401.875,6110.0,351.79,0.0,24290.885
2016-06-11 14:15:00+0000,21696.9,698.477,850.0,715.293,0.0,22530.084
2016-06-11 14:20:00+0000,28595.0,554.538,0.0,1391.13,4700.0,23058.408
2016-06-11 14:25:00+0000,27487.5,893.865,0.0,2845.59,1750.0,23785.775
2016-06-11 14:30:00+0000,18914.8,639.729,2940.0,494.711,0.0,21999.818
2016-06-11 14:35:00+0000,17547.8,452.066,4540.0,263.004,0.0,22276.862
2016-06-11 14:40:00+0000,17426.0,1110.93,5490.0,980.048,0.0,23046.882
2016-06-11 14:45:00+0000,14486.2,5279.5,6750.0,239.913,0.0,26275.787
2016-06-11 14:50:00+0000,21273.6,6374.53,0.0,1042.87,10.0,26595.26
2016-06-11 14:55:00+0000,22877.1,2071.3,0.0,69.845,80.0,24798.555
2016-06-11 15:00:00+0000,21245.3,860.081,0.0,120.046,120.0,21865.335
2016-06-11 15:05:00+0000,21097.4,660.161,0.0,348.122,140.0,21269.439
2016-06-11 15:10:00+0000,32728.4,739.703,0.0,3479.28,5840.0,24148.823
2016-06-11 15:15:00+0000,21855.3,734.022,400.0,352.857,0.0,22636.465
2016-06-11 15:20:00+0000,29341.5,896.05,0.0,2919.4,350.0,26968.15
2016-06-11 15:25:00+0000,28882.0,1203.5,0.0,2216.66,2130.0,25738.84
2016-06-11 15:30:00+0000,18615.7,717.8,3610.0,175.564,0.0,22767.936
2016-06-11 15:35:00+0000,13905.8,3806.27,8520.0,249.651,0.0,25982.419
2016-06-11 15:40:00+0000,21091.6,3533.02,0.0,395.974,20.0,24208.646
2016-06-11 15:45:00+0000,45325.0,165.596,0.0,8712.65,13250.0,23527.946
2016-06-11 15:50:00+0000,35724.3,946.602,0.0,3382.69,13260.0,20028.212
2016-06-11 15:55:00+0000,24431.7,747.346,0.0,971.218,3550.0,20657.828
2016-06-11 16:00:00+0000,27005.1,1564.25,0.0,2834.11,3390.0,22345.24
2016-06-11 16:05:00+0000,23409.0,1427.3,2290.0,2080.61,0.0,25045.69
2016-06-11 16:10:00+0000,24911.5,787.299,1260.0,2008.09,0.0,24950.709
2016-06-11 16:15:00+0000,27004.6,1490.79,0.0,2995.19,2560.0,22940.2
2016-06-11 16:20:00+0000,29704.3,1806.85,0.0,3374.99,7120.0,21016.16
2016-06-11 16:25:00+0000,19523.7,729.77,2020.0,418.863,0.0,21854.607
2016-06-11 16:30:00+0000,20122.6,889.294,2060.0,1371.83,0.0,21700.064
2016-06-11 16:35:00+0000,23972.4,1492.48,1270.0,3680.86,0.0,23054.02
2016-06-11 16:40:00+0000,16166.1,1303.77,2930.0,698.815,0.0,19701.055
2016-06-11 16:45:00+0000,23792.1,1879.05,0.0,2922.18,1200.0,21548.97
2016-06-11 16:50:00+0000,18346.0,891.284,2820.0,796.24,0.0,21261.044
2016-06-11 16:55:00+0000,18708.9,736.144,1990.0,1140.89,0.0,20294.154
2016-06-11 17:00:00+0000,17217.3,574.617,3000.0,516.665,0.0,20275.252
2016-06-11 17:05:00+0000,27540.0,608.864,50.0,2324.11,0.0,25874.754
2016-06-11 17:10:00+0000,18097.1,1325.57,5690.0,401.325,0.0,24711.345
2016-06-11 17:15:00+0000,13299.1,594.633,11310.0,780.409,0.0,24423.324
2016-06-11 17:20:00+0000,22900.3,3437.36,430.0,1350.54,0.0,25417.12
2016-06-11 17:25:00+0000,11675.5,13765.6,0.0,0.0,0.0,25441.1
2016-06-11 17:30:00+0000,10090.0,13541.8,15.0,0.0,0.0,23646.8
2016-06-11 17:35:00+0000,10455.9,12877.1,10.0,0.0,0.0,23343.0
2016-06-11 17:40:00+0000,12432.9,10012.6,0.0,0.0,20.0,22425.5
2016-06-11 17:45:00+0000,10885.4,11976.8,0.0,0.0,20.0,22842.2
2016-06-11 17:50:00+0000,10568.8,13296.9,0.0,0.0,20.0,23845.7
2016-06-11 17:55:00+0000,13302.2,11458.1,0.0,0.0,20.0,24740.3
2016-06-11 18:00:00+0000,13637.3,11573.5,0.0,0.0,20.0,25190.8
2016-06-11 18:05:00+0000,13663.7,8383.72,0.0,0.0,20.0,22027.42
2016-06-11 18:10:00+0000,14254.0,8028.03,0.0,0.0,20.0,22262.03
2016-06-11 18:15:00+0000,20380.7,2767.36,0.0,40.3764,20.0,23087.684
2016-06-11 18:20:00+0000,20559.5,2244.35,0.0,52.5557,30.0,22721.294
2016-06-11 18:25:00+0000,16783.9,5369.22,20.0,2.01066,0.0,22171.109
2016-06-11 18:30:00+0000,14683.8,7681.12,0.0,0.0,20.0,22344.92
2016-06-11 18:35:00+0000,13641.1,9878.02,0.0,0.0,0.0,23519.12
2016-06-11 18:40:00+0000,12438.9,11586.5,0.0,0.0,40.0,23985.4
2016-06-11 18:45:00+0000,8632.61,13563.1,0.0,0.0,20.0,22175.71
2016-06-11 18:50:00+0000,7616.7,15562.3,0.0,0.0,20.0,23159.0
2016-06-11 18:55:00+0000,9348.7,15537.0,0.0,0.0,20.0,24865.7
2016-06-11 19:00:00+0000,8040.56,16206.9,0.0,0.0,20.0,24227.46
2016-06-11 19:05:00+0000,6939.83,18530.7,0.0,0.0,20.0,25450.53
2016-06-11 19:10:00+0000,7132.62,16453.3,0.0,0.0,20.0,23565.92
2016-06-11 19:15:00+0000,6280.28,17852.5,0.0,0.0,20.0,24112.78
2016-06-11 19:20:00+0000,5104.91,18071.4,0.0,0.0,20.0,23156.31
2016-06-11 19:25:00+0000,4393.3,23351.9,0.0,0.0,20.0,27725.2
2016-06-11 19:30:00+0000,4472.16,23295.9,0.0,0.0,20.0,27748.06
2016-06-11 19:35:00+0000,5357.68,17058.1,0.0,0.0,10.0,22405.78
2016-06-11 19:40:00+0000,4743.5,19004.5,0.0,0.0,20.0,23728.0
